Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,646.0,18.0,23.0,646.0,0.0,12.903999999999996,0.0,0.0,48.11522579193115,,,,,,,,,,,,,,,,,,,,,4.094173727512753,4.253323246254595,12.822656660928136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,668.0,19.0,22.0,668.0,0.0,7.7059999999999995,0.0,0.0,49.8123242855072,,,,,,,,,,,,,,,,,,,,,1.776829283015793,2.3353231900840674,7.674584340113766,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,741.0,20.0,73.0,741.0,0.0,30.706000000000053,0.0,0.0,55.02893686294556,,,,,,,,,,,,,,,,,,,,,10.383387646623888,8.113975486024538,29.97799069248896,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,22.0,1.0,22.0,763.0,0.0,9.104999999999995,0.0,0.0,102.45595622062683,,,,,,,,,,,,,,,,,,,,,2.368748685823962,2.85229488058614,9.061949478390263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,74.0,2.0,52.0,815.0,0.0,31.504000000000012,0.0,0.0,106.54879665374756,,,,,,,,,,,,,,,,,,,,,12.648565068076696,9.424859221010399,30.877151768228245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,128.0,3.0,54.0,869.0,0.0,38.605,0.0,0.0,110.7680344581604,,,,,,,,,,,,,,,,,,,,,14.28710393440861,12.461622351672816,37.87136775529724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,181.0,4.0,53.0,922.0,0.0,33.10699999999999,0.0,0.0,114.77988171577454,,,,,,,,,,,,,,,,,,,,,12.179058281657197,10.443978191418086,32.49400391498714,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,201.0,5.0,20.0,942.0,0.0,7.906000000000001,0.0,0.0,116.58747100830078,,,,,,,,,,,,,,,,,,,,,1.9991452557644085,2.4905004120786183,7.873890985870582,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,222.0,6.0,21.0,963.0,0.0,8.904999999999996,0.0,0.0,118.37039518356323,,,,,,,,,,,,,,,,,,,,,2.4858226323922827,2.794478753237038,8.861659384103865,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,241.0,7.0,19.0,982.0,0.0,9.403999999999996,0.0,0.0,119.84253549575806,,,,,,,,,,,,,,,,,,,,,2.7525177491304014,3.08829857710345,9.361063225992517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
